id,name,population,facts,pic
11,Ethiopia,112.1 million,<p>This East African nation was the site of an archaeological discovery that<a href="http://www.bbc.com/earth/story/20141127-lucy-fossil-revealed-our-origins"> rewrote human history</a>. </p>,https://thumbor.bigedition.com/interesting-facts-about-ethiopia/_mmV6ncV_hnns_-iwtJ4DZK0A8w=/800x0/filters:quality(80)/granite-web-prod/1b/65/1b651725d804464e82193ab39687fe99.jpeg
12,Philippines,108.1 million,"<p>About a quarter of all overseas nurses come from the Philippines, making it the <a href=""https://www.huffpost.com/entry/20-incredible-facts-about-the-philippines_b_58a80363e4b026a89a7a2b80"">world’s top supplier of nurses</a>.</p>",https://thumbor.bigedition.com/philippines-nurse/NqX4hHfQGmZarY3TAU-OCUhzo7Y=/800x0/filters:quality(80)/granite-web-prod/51/26/51260e0245db4e62beb0b0b11cd12f9b.jpeg
13,Egypt,100.4 million,"<p>Bread was<a href=""http://lyonbakery.com/the-origin-of-bread/""> invented in Egypt</a> around 8,000 BC. The first examples of it were flat and unleavened, most closely resembling what we know today as chapatis in India or tortillas in Latin America. </p>",https://thumbor.bigedition.com/egyptian-bread/urSaeUWlCwX0McTV1ZIUFrk7z1Q=/800x0/filters:quality(80)/granite-web-prod/21/e6/21e6fd3feb814f84a595527fcf370329.jpeg
14,Vietnam, 96.5 million,"<p>One of the top attractions in Hanoi is the<a href=""http://www.vietnam-guide.com/hanoi/hochiminh-mausoleum.htm""> Ho Chi Minh Mausoleum</a>. Here you can view the embalmed body of the country’s most beloved leader, known as Uncle Ho, who was encased in glass (against his will). </p>",https://thumbor.bigedition.com/ho-chi-mihn-mausoleum-vietnam/Pdpf_49gSfxI04TdvuI7GR8XL30=/800x0/filters:quality(80)/granite-web-prod/2d/3f/2d3f9baa3f0f4953a92743f62e33bd53.jpeg
15,Democratic Republic of the Congo,86.8 million,"<p>Belgium colonized this African country from 1908 to 1960, and one of the leftovers from this period is an obsession with mayonnaise. They apparently <a href=""https://www.cnn.com/travel/article/10-things-about-congo/index.html"">put it on everything</a> here.</p>",https://thumbor.bigedition.com/republic-of-the-congo-food/ll02wH6RtWGYqrJRwRnyTsxhgVg=/800x0/filters:quality(80)/granite-web-prod/63/c0/63c0b0d9e787415f9b085fd4781f3072.jpeg
16,Germany, 83.5 million,"<p>Everyone who lives in this European country, even foreigners, can attend college<a href=""https://www.bbc.com/news/magazine-32821678""> tuition-free</a>. </p>",https://thumbor.bigedition.com/german-university/h4vPDqItcxqPRVYO7qKzWkhXgAE=/800x0/filters:quality(80)/granite-web-prod/31/a7/31a77d169f6c4bdd87831adb7f9f1e0f.jpeg
17,Turkey, 83.4 million,"<p>Turkey is known for its delicious desserts like baklava, but it also has a pudding called<a href=""http://balkon3.com/en/tavuk-gogsu-dessert-pudding-with-chicken/""> tavuk gogsu</a> that’s made from, among other things, milk, sugar, cinnamon and shredded chicken breasts. </p>",https://thumbor.bigedition.com/turkish-dessert-tavuk-gogsu/ysGipPf59jL_AroqPwJAXY23qeI=/800x0/filters:quality(80)/granite-web-prod/78/12/7812665390f8482aad3ec9ce2942d839.jpeg
18,Iran, 82.9 million,"<p>This Middle East country is more committed to<a href=""https://www.theglobalist.com/iran-a-model-for-family-planning/""> family planning</a> than any other country on the planet. Religious edicts called fatwas encourage contraceptives, and both men and women are required by law to take a class on modern contraception before their marriage license will be issued. </p>",https://thumbor.bigedition.com/iranian-family/FYZUp60Uj6yLz5slmqt6Fq5ivLw=/800x0/filters:quality(80)/granite-web-prod/d6/95/d6959e79b0914ed6ac2ca6353965f44b.jpeg
19,Thailand,69.6 million,"<p>There’s an annual festival in this Southeast Asian nation that pays homage to its many monkeys. During the<a href=""https://allthatsinteresting.com/monkey-buffet-festival""> Monkey Buffet Festival</a>, residents of Lopburi provide 4.5 tons of fruits, veggies and candies to the 3,000 monkeys that live around the ancient temple of Phra Prang Sam Yot. </p>",https://thumbor.bigedition.com/thailand-monkey-buffet-festival/p0scfaT8pHCyZmd0NJXIEIxm1Is=/800x0/filters:quality(80)/granite-web-prod/99/ab/99ab0ab7e05f43ffa35101f0d5b4e22c.jpeg
20,United Kingdom, 67.5 million,<p>Tea is big on this European island nation — locals reportedly drink 165 million cups a day. But it was a<a href="https://www.travelandleisure.com/food-drink/why-british-drink-tea"> Portugeuse woman</a> who first brought the drink to the isles.</p>,https://thumbor.bigedition.com/british-tea/NJ3Q5HZ4ey8OoDSxFYu0H9xpaCQ=/800x0/filters:quality(80)/granite-web-prod/5f/48/5f48278d3e334fcc83437a91bb8a654f.jpeg
21,France,65.1 million,<p>This European nation is the<a href="https://www.farandwide.com/s/most-visited-countries-792c34d8901f4bc9"> most visited country in the world</a> with 89 million annual tourists.</p>,https://thumbor.bigedition.com/eiffel-tower-on-a-rainy-day/_OdspLn6X-OkjMdmIrw7oACltGI=/800x0/filters:quality(80)/granite-web-prod/b5/5f/b55f4196edb947b097c7361df0cea457.jpeg
22,Italy,60.6 million,"<p>One of the most iconic foods in this European nation is the<a href=""https://epicureandculture.com/tomato-transformed-european-diet/""> tomato</a>. But Italians have only been eating this fruit since the 1500s, when Spanish conquistadors brought it from Peru to Naples, which at the time was under Spanish rule. </p>",https://thumbor.bigedition.com/italian-tomato/90YeKadMiZTCmmmAqtX_SiJYw1k=/800x0/filters:quality(80)/granite-web-prod/3d/9c/3d9c6182bda64643a3c21949cf520a1c.jpeg
23,South Africa,58.6 million,<p>There is a street in the city of Soweto called<a href="https://www.theguardian.com/world/2013/dec/06/soweto-celebrate-mandela"> Vilakazi Street</a> that was once home to two very famous South Africans: Nelson Mandela and Desmond Tutu. Both won Nobel peace prizes. </p>,https://thumbor.bigedition.com/vilakazi-street-in-soweto-south-africa/ChORUej-nzi46uyz_3QiyJUvSag=/800x0/filters:quality(80)/granite-web-prod/73/ac/73ac6a6a1a23435cbecdd2b5db73f448.jpeg
24,Tanzania,58 million,<p>Rock music legend<a href="http://www.freddiemercury.com/en/biography"> Freddie Mercury</a> of the band Queen was born Farrokh Bulsara in Zanzibar while it was a British protectorate. The East African island is now part of Tanzania. </p>,https://thumbor.bigedition.com/freddy-mercury-singing/KD1omjN2L8m1DxSScROkc9W0sZg=/800x0/filters:quality(80)/granite-web-prod/1a/00/1a008f7a288f4a03b00573279da6400c.jpeg
25,Myanmar, 54 million,"<p>This Southeast Asian country is one of only three in the world, along with Liberia and the United States, that<a href=""https://www.worldatlas.com/articles/which-countries-don-t-use-the-metric-system.html""> does not use the metric system</a>.</p>",https://thumbor.bigedition.com/facts-about-every-country/_BzjoXTOB9X-pwn0Bf2CuHHe_Nc=/800x0/filters:quality(80)/granite-web-prod/85/d8/85d89d37adde485f953a111f12c5352e.jpeg
26,Kenya, 52.6 million,"<p>The<a href=""https://www.npr.org/sections/parallels/2013/11/01/241895965/how-one-kenyan-tribe-produces-the-worlds-best-runners""> Kalenjin tribe</a> in this East African nation produces the world’s best long-distance runners. In one Berlin marathon a few years ago, male runners from this single tribe placed first, second, third, fourth and fifth; women runners from the tribe nabbed first, second and fourth place.</p>",https://thumbor.bigedition.com/kalenjin-tribe-fast-runner/rDr6UIauVO9jD4Z8Sz5yjivvo44=/800x0/filters:quality(80)/granite-web-prod/42/98/4298b41827c7422da16d7a8856fd011b.jpeg
27,South Korea,51.2 million,"<p><a href=""https://onthegas.org/food/korea-s-pride-and-joy-kimchi"">Kimchi and rice</a> are the two most important foodstuffs of this East Asian nation, and there is a common saying that “if you have kimchi and rice then you have a meal.” This reliance on kimchi and rice dates back up to 3,000 years. </p>",https://thumbor.bigedition.com/korean-kimchi-with-rice/OS6A-XOzz6F3mj5L-QPqo25V-uw=/800x0/filters:quality(80)/granite-web-prod/18/01/18017e736698478d8ab60f2e8327a69a.jpeg
28,Colombia, 50.3 million,"<p><a href=""https://www.cnn.com/travel/article/cano-cristales-colombia/index.html"">Caño Cristales</a>, a river in this South American country, is referred to as the “liquid rainbow” and the ""River of Seven Colors"" because of its many vivid colors, created during the reproductive process of aquatic plants. </p>",https://thumbor.bigedition.com/cano-cristales-colombia/47qLuW7TJFG1GGbw4xuTJ9OQqL0=/800x0/filters:quality(80)/granite-web-prod/e8/0d/e80d1354b00b4abf9c9d9f4ac7c176b3.jpeg
29,Spain,46.7 million,"<p>This European country is the birthplace of Miguel de Cervantes, whose iconic “Don Quixote” is considered the<a href=""https://www.biography.com/writer/miguel-de-cervantes""> first modern novel</a>. The first part was published in 1605 and the second 10 years later. </p>",https://thumbor.bigedition.com/miguel-de-cervantes-painting/Ckgzehdt9WmMUYznyfzcYsDe2lM=/800x0/filters:quality(80)/granite-web-prod/df/23/df2375016eed4b0695a9447beb0a3c9b.jpeg
30,Argentina,44.8 million,"<p>Argentine Diego Maradona is one of the best soccer players of all time. He is so popular in his home country that some 120,000 people worship at the<a href=""https://www.theguardian.com/football/2008/nov/12/diego-maradona-argentina""> Church of Maradona</a>.</p>",https://thumbor.bigedition.com/soccer-player-diego-maradona/iVBo8e7zZ32N7cAIKsBNJSL5rJw=/800x0/filters:quality(80)/granite-web-prod/cd/93/cd9392926e9e4c60ba838aa5de716c4d.jpeg
31,Uganda,44.3 million ,"<p>This African nation is a<a href=""https://aviansafaris.com/uganda-bird-checklist/""> birder’s paradise</a>. With more than 1,000 species, it contains 60 percent of Africa’s birds and 11 percent of the world’s avian population.  </p>",https://thumbor.bigedition.com/ugandan-birds/3V_U5LpitKz53oWuhrg0JK7JecY=/800x0/filters:quality(80)/granite-web-prod/67/4a/674a615b30954d24a9fa35814e2bf620.jpeg
32,Ukraine, 44 million,<p>This former Soviet republic is one of only 26 countries in the world with a<a href="https://www.worldatlas.com/articles/the-highest-literacy-rates-in-the-world.html"> 100 percent literacy rate</a> among adults.</p>,https://thumbor.bigedition.com/crowded-ukraine-street/qJTvt2-Gcreh-c5dj7RC6csl8Zk=/800x0/filters:quality(80)/granite-web-prod/20/12/2012dcb565d644c9836017b8acf09b39.jpeg
33,Algeria,43 million,<p>Nobel laureate and famous existentialist<a href="https://www.iep.utm.edu/camus/"> Albert Camus</a> was born in Algeria to French parents and began his career in the North African country. </p>,https://thumbor.bigedition.com/albert-camus/OPx_vf_NP_yRrBmTyXo7n_inkrg=/800x0/filters:quality(80)/granite-web-prod/90/f9/90f9fb1a26a74b78a112f5520f098d17.jpeg
34,Sudan,42.8 million,"<p><a href=""http://www.sudantribune.com/Light-my-fire-Sudan-s-sex-and,25119"">Dukhan</a> is a Sudanese tradition that involves a month-long series of smoke baths for brides-to-be that are intended to make their skin smooth and glowing for their wedding day. It’s also used generally by women as a sexual enhancer. </p>",https://thumbor.bigedition.com/dukhan-tradition-sudan/Ggno8CqQsMgjkJBDS3dGMi4NiMs=/800x0/filters:quality(80)/granite-web-prod/d9/7a/d97a6c87846d4d1b9bf39c0bf522cc73.jpeg
35,Iraq, 39.3 million,"<p>The ancient Sumerians of Mesopotamia — what is now modern-day Iraq — invented the<a href=""https://www.ancient.eu/cuneiform/""> world’s first writing system</a>, called cuneiform, from 3500-3000 BC. </p>",https://thumbor.bigedition.com/sumerian-writing-cuneiform/jvd-EyKOm20DIu0LLSAR6YMkNI8=/800x0/filters:quality(80)/granite-web-prod/73/6f/736f752d41934d6786ad370324ee02ae.jpeg
36,Afghanistan, 38 million,"<p>The national sport of this South-Central Asian country is called<a href=""https://www.reuters.com/article/us-afghanistan-buzkashi/traditional-goat-pulling-sport-outlasts-afghan-wars-politics-idUSKBN17A06D""> buzkashi</a> and involves men on horses fighting over half of a calf carcass (goat carcasses were once used, but couldn’t handle the pounding as well). It can get quite violent. </p>",https://thumbor.bigedition.com/afghani-horse-riders/v9wShb2VPMx95v_eE9DjjvT3DRQ=/800x0/filters:quality(80)/granite-web-prod/6a/3a/6a3a0a522ff449e3a97b39f48f311c30.jpeg
37,Poland,37.9 million,"<p>The humble but delicious bagel was invented in this European country. It’s not known exactly when, but it appears to date to<a href=""https://www.smithsonianmag.com/arts-culture/a-brief-history-of-the-bagel-49555497/""> at least 1610</a> and possibly as far back as the 1300s. </p>",https://thumbor.bigedition.com/polish-bagels/ymbwByrIpwwadMMZxPLh8Lp9h6A=/800x0/filters:quality(80)/granite-web-prod/6d/d6/6dd6a081d2d04b80a87c552146d6e13b.jpeg
38,Canada,37.4 million,"<p>The<a href=""https://www.worldatlas.com/articles/the-49th-parallel.html""> 49th parallel</a> marks the border between Canada and the United States. At 5,525 miles, it’s the world’s longest unprotected border.</p>",https://thumbor.bigedition.com/us-canada-border/j3zco50FL9B5ikusjWsAoUZrq-E=/800x0/filters:quality(80)/granite-web-prod/59/fb/59fb9c0c838945f5a5a6e1f88876f68c.jpeg
39,Morocco, 36.5 million,"<p>Dating back to 859, the University of Al-Karaouine in the ancient city of <a href=""https://www.atlasobscura.com/places/fes-el-bali"">Fes el-Bali</a> is the <a href=""https://www.atlasobscura.com/places/university-of-alkaraouine"">oldest known university in the world</a>.</p>",https://thumbor.bigedition.com/university-of-al-karaouine-in-morocco/rcZH6S3WON36ekD_KW3NeQ0GRCA=/800x0/filters:quality(80)/granite-web-prod/22/a4/22a4ef34bb7b47829b72e9174850cafd.jpeg
40,Saudi Arabia,34.3 million,"<p><a href=""https://www.britannica.com/place/Mecca"">Mecca</a>, the holiest Islamic city, is located in this Middle East country. All Muslims are encouraged to visit it at least once, and because of its holy status, only Muslims are allowed to enter. </p>",https://thumbor.bigedition.com/mecca-saudi-arabia/9z3J6UqiEo7D2MdTf--mLpLiMW0=/800x0/filters:quality(80)/granite-web-prod/a9/32/a9328ade68c3479e9a27c83e1f4790e8.jpeg
41,Uzbekistan, 33 million,"<p>Uzbek people have several<a href=""http://uzbek-travel.com/about-uzbekistan/facts/traditional-uzbek-bread/""> superstitions surrounding bread</a>, which is considered sacred in this former Soviet republic. These include not placing bread upside down, as that’s considered rude, and breaking off a chunk of bread when leaving home, so it’s preserved when you come back.</p>",https://thumbor.bigedition.com/bread-in-uzbekistan/Xn38ElEkT3m4GVkroCh5znDMDbY=/800x0/filters:quality(80)/granite-web-prod/76/a8/76a8d9b063384078b79588ea3dde7452.jpeg
42,Peru, 32.5 million,"<p>Far south from the Peruvian capital of Lima are the mysterious<a href=""http://whc.unesco.org/en/list/700""> Nazca Lines</a>. Dating back to between 500 BC and 500 AD, they are one of archaeology’s great enigmas due to their size, quantity and continuity. The mystery is enhanced by the fact that they are only visible from high above. </p>",https://thumbor.bigedition.com/nazca-lines-peru/ruraix8LRKJI849CDhxqtt4iBOg=/800x0/filters:quality(80)/granite-web-prod/b7/57/b757db8619b445248040a1cde4b858c1.jpeg
43,Malaysia,31.9 million,"<p>Sarawak Chamber on the island of Borneo is the <a href=""https://www.nationalgeographic.com/magazine/2019/03/exploring-a-massive-cave-labyrinth-hidden-under-borneo/"">largest known cave chamber on Earth</a>. At 2,000 feet long, 1,400 feet wide and almost 500 feet tall, it is twice the size of Britain’s Wembley Stadium.</p>",https://thumbor.bigedition.com/malaysian-cave/Zzs3NX3ZkO8JzWLQi-U5F0hRMro=/800x0/filters:quality(80)/granite-web-prod/20/3d/203dec6a30ba4b658039f21423ebc147.jpeg
44,Angola,31.8 million,<p>The wildly popular Brazilian dance style known as samba is rooted in<a href="http://www.sambassadorsofgroove.org.uk/history-of-samba.html"> Angolan circle dances</a>.</p>,https://thumbor.bigedition.com/angolan-dance/WcuJb-W6k9O3JulNns5Z3MJV_3E=/800x0/filters:quality(80)/granite-web-prod/25/05/25055c0add4c4c9eba6870cef042a99a.jpeg
45,Ghana, 30.4 million,"<p><a href=""https://aaregistry.org/story/kwame-nkrumah-fathered-pan-africanism/"">Kwame Nkrumah</a>, who led this African nation’s independence from Britain in 1957, is known as the Father of Pan-Africanism, which sought to unite all people of African descent to create a politically independent continent.  </p>",https://thumbor.bigedition.com/kwame-nkrumah-pan-africanism/f_tnFIR4lOznfOuAjUGF4KEF0vk=/800x0/filters:quality(80)/granite-web-prod/2f/86/2f86f2a40d0f407b8eba6bbf5727a525.jpeg
46,Mozambique,30.4 million,"<p>Bob Dylan, known for his politically charged songwriting, released an album in 1976 around the time of this African nation’s independence from Portugal that contained a romantic love song called “Mozambique” celebrating the country. </p>",https://thumbor.bigedition.com/bob-dylan-singing/iC8M4aqIN1Wn9h39FxHUjbXRy0c=/800x0/filters:quality(80)/granite-web-prod/44/41/44419c1063344f40b20f2e42f35e81da.jpeg
47,Yemen,29.2 million,<p>Shibam is a 16th-century walled city in this Middle East nation that’s known as the<a href="https://whc.unesco.org/en/list/192/"> “Manhattan of the Desert”</a> thanks to its impressive mud-brick highrises and grid layout. </p>,https://thumbor.bigedition.com/shibam-yemen/7drjBBMYLdX5zn3sjL0oJA8q7pU=/800x0/filters:quality(80)/granite-web-prod/9b/72/9b72405a49b5434693c6c7df312734bf.jpeg
48,Nepal,28.6 million,"<p>This Asian nation has no independence day because, unlike most countries around the world, it was<a href=""https://www.worldatlas.com/articles/10-countries-who-were-never-colonized-by-europeans.html""> never fully occupied by Europeans</a>. It ceded 30 percent of its land to Britain following the Anglo-Nepalese War from 1814-16, but the Brits were never able to conquer it all due to the country’s treacherous terrain. </p>",https://thumbor.bigedition.com/nepalese-himalaya/QIE-_wuUfKL76Patqke4XdJkTOA=/800x0/filters:quality(80)/granite-web-prod/e9/74/e974ee9facea48aba34a24a1fa70a4f0.jpeg
49,Venezuela, 28.5 million,"<p>Residents of this South American country cannot legally watch “The Simpsons” because their former president, Hugo Chavez, deemed it<a href=""https://www.reuters.com/article/us-venezuela-simpsons/venezuela-axes-the-simpsons-as-bad-for-kids-idUSN0840461120080409""> unsuitable for children</a>. Confoundingly, it was replaced by “Baywatch.”   </p>",https://thumbor.bigedition.com/baywatch/xDyCNYjqRPB4gtRLgmkZxF77KGA=/800x0/filters:quality(80)/granite-web-prod/57/c1/57c160e7b65d40898d635e16d86aac4f.jpeg
50,Madagascar,27 million,<p>A traditional martial art called<a href="https://www.bloodyelbow.com/2018/11/6/18067872/moraingy-madagascar-centuries-old-version-mixed-martial-arts-traditional-bare-knuckle-africa-history"> Moraingy</a> was developed on this African island in the precolonial 17th century and remains wildly popular. It involves bare-knuckle fighting and is comparable to mixed martial arts. </p>,https://thumbor.bigedition.com/moraingy-martial-arts/JV1yQB6MS-VGTXwYKbYOoky5RJ0=/800x0/filters:quality(80)/granite-web-prod/7a/77/7a77cd9be9384a389c7ea121ad3e7dae.jpeg
51,Cameroon,25.9 million,"<p>Often called “<a href=""https://www.worldatlas.com/articles/what-languages-are-spoken-in-cameroon.html"">Africa in miniature</a>,” Cameroon touts 1,738 different linguistic groups and more than 200 national languages. </p>",https://thumbor.bigedition.com/cameroon-street/PeUVH9jLKKHcEzqt9Z-J1YUOgJw=/800x0/filters:quality(80)/granite-web-prod/c1/0d/c10dd27772a74759b0cda9289833188d.jpeg
52,Ivory Coast,25.7 million,"<p>This West African nation is home to the<a href=""https://www.tripsavvy.com/basilica-of-our-lady-of-peace-1454487""> largest church in the world</a>, Basilica of Our Lady of Peace. Completed in 1989, it measures 518 feet tall and covers an area of 323,000 square feet. </p>",https://thumbor.bigedition.com/basilica-of-our-lady-of-peace-ivory-coast/lT5hkO04z3pIs88ZPnWtM0fFyJk=/800x0/filters:quality(80)/granite-web-prod/2b/8e/2b8e8a49524b4ab1a02b719801bd5dbf.jpeg
53,North Korea, 25.7 million,<p>Both men and women in this East Asian nation can only choose between 15 state-approved haircuts.<a href="https://www.telegraph.co.uk/news/2018/08/17/north-korean-fashion-police-crack-banned-haircuts/"> Punishment</a> ranges from small fines to imprisonment. </p>,https://thumbor.bigedition.com/north-korean-school/EXyhWSOs3gHJZJez9wFFmvqcsW0=/800x0/filters:quality(80)/granite-web-prod/a9/12/a91242f6695647119873ec7358a8f82c.jpeg
54,Australia,25.2 million,"<p>This continent/country is home to Uluru, or Ayers Rock, a massive red sandstone formation in the Northern Territory that is sacred ground for aboriginals. For years, people have been taking and then returning chunks of sandstone, fearing that the pilfering<a href=""https://www.telegraph.co.uk/news/newstopics/howaboutthat/1948843/Uluru-Tourists-return-stones-to-cursed-Ayers-Rock.html""> cursed them with bad luck</a>.</p>",https://thumbor.bigedition.com/uluru-rock-australia/r3Yc6rLpuakwQWo9lhNQP8s4BTc=/800x0/filters:quality(80)/granite-web-prod/db/25/db2574d1b8b345bc8ddd419a99290c9e.jpeg
55,Niger, 23.3 million,"<p>The<a href=""https://africanrockart.britishmuseum.org/country/niger/dabous/""> largest petroglyph in the world</a> can be found in this African nation. It depicts two giraffes, with the tallest one measuring nearly 18 feet. It was created 6,000 to 8,000 years ago. </p>",https://thumbor.bigedition.com/niger-petroglyphs/UVyDQmNZDaY-UvPs13OnO8CxzFk=/800x0/filters:quality(80)/granite-web-prod/22/bd/22bd281c69074d8380bf8968f6a3790b.jpeg
56,Sri Lanka,21.3 million,"<p>There’s a sacred fig tree in this South Asian country that was planted from a cutting some 2,300 years ago and has been lovingly tended to ever since. The cutting was<a href=""https://www.straitstimes.com/singapore/7-things-to-know-about-sri-lankas-sri-maha-bodhi-tree-visited-by-indias-pm-modi""> taken from the Indian tree</a> that gave Siddhartha Gautama the enlightenment to become Buddha.</p>",https://thumbor.bigedition.com/sacred-tree-in-sri-lanka/HwtVD5M_PM3lbyOCWLTPgjtZx8Q=/800x0/filters:quality(80)/granite-web-prod/32/da/32dae9dee82c4bedb83cd1ef641ecd1b.jpeg
57,Burkina Faso, 20.3 million,"<p>Burkinabé revolutionary<a href=""https://www.britannica.com/biography/Thomas-Sankara""> Thomas Sankara</a> is known as the “African Che Guevara” for his efforts, as president from 1983-87, to rid the country of corruption and environmental degradation while empowering women and boosting education and health-care access. He was assassinated in 1987. </p>",https://thumbor.bigedition.com/thomas-sankara-burkina-faso/jhMPH0PWBQvVIX5SICNtNCImfsk=/800x0/filters:quality(80)/granite-web-prod/cb/56/cb568f201b5d42d3bfd469470832846a.jpeg
58,Mali,19.7 million,"<p>In the town of Gao in this West African nation, one can straddle the<a href=""http://www.malirisingfdn.org/blog/2017/2/7/5-things-you-probably-dont-know-about-mali""> prime meridian</a> and have one foot in the Western Hemisphere and the other in the Eastern Hemisphere. </p>",https://thumbor.bigedition.com/gao-mali/Rl1olluvC6dN4u_WUDvXXgNd7ts=/800x0/filters:quality(80)/granite-web-prod/68/35/683587a60d10454d80fd9662e3ad5dd0.jpeg
